employee_id,nombre_completo,edad,genero,estado_civil,num_hijos,departamento,puesto,fecha_ingreso,antiguedad_años,salario_mensual,satisfaction_score,performance_rating,work_life_balance,horas_extra_mes,dias_ausencia_año,turnover
10000,Juan García López,35,M,Casado,2,Ventas,Ejecutivo de Ventas,2022-05-15,3.72,5850.5,3.2,4.1,3.5,12.3,4,0
10001,María Rodríguez Torres,28,F,Soltera,0,TI,Desarrollador,2023-11-20,2.21,6200.75,4.5,4.8,4.2,8.5,2,0
10002,Carlos Pérez Sánchez,42,M,Casado,3,Finanzas,Analista Financiero,2019-03-10,6.91,7100.3,2.8,3.9,2.9,25.4,8,1
10003,Ana González Vargas,31,F,Casada,1,RRHH,Coordinador,2021-07-01,4.59,7800.0,4.2,4.5,4.0,5.2,3,0
10004,Luis Martínez Cruz,26,M,Soltero,0,Operaciones,Operario,2024-01-15,2.05,3800.5,3.8,3.7,3.3,18.7,6,0
10005,Patricia López Castillo,38,F,Divorciada,2,Marketing,Especialista Marketing,2020-09-20,5.37,6500.25,3.5,4.2,3.7,14.2,5,0
10006,Roberto Torres Flores,45,M,Casado,2,Ventas,Gerente,2018-02-14,7.97,13500.0,4.1,4.6,3.2,22.1,4,0
10007,Carmen Ramírez Mendoza,29,F,Soltera,0,TI,Analista de Sistemas,2022-08-30,3.43,5900.8,4.7,4.9,4.5,6.8,2,0
10008,Jorge Sánchez Quispe,52,M,Casado,3,Finanzas,Gerente,2016-05-12,9.73,14200.5,3.9,4.3,3.1,28.3,5,0
10009,Laura Flores Ramírez,33,F,Casada,2,RRHH,Asistente RRHH,2021-11-05,4.25,4500.75,3.1,3.8,3.2,8.9,7,0
10010,Pedro Vargas García,27,M,Soltero,0,Ventas,Ejecutivo de Ventas,2023-06-18,2.63,5200.4,2.5,3.5,2.7,31.2,9,1
10011,Rosa Castillo López,36,F,Casada,1,Marketing,Coordinador,2020-04-22,5.79,8100.3,4.3,4.4,3.9,10.5,4,0
10012,Miguel Mendoza Torres,40,M,Divorciado,1,Operaciones,Supervisor,2019-10-08,6.32,7500.0,3.6,4.0,3.3,19.8,6,0
10013,Elena Quispe Sánchez,24,F,Soltera,0,TI,Desarrollador,2024-09-01,1.42,5800.25,4.8,4.7,4.6,4.2,1,0
10014,José Ramírez Flores,47,M,Casado,3,Finanzas,Contador,2017-12-20,8.13,8300.5,3.4,4.1,3.0,24.7,7,0
10015,Sofía Torres Vargas,30,F,Soltera,0,Ventas,Ejecutivo de Ventas,2022-03-15,3.89,5600.75,4.0,4.3,3.8,11.3,3,0
10016,Ricardo López Castillo,34,M,Casado,2,Marketing,Especialista Marketing,2021-05-10,4.73,6800.4,2.2,3.2,2.4,35.6,12,1
10017,Gabriela Mendoza Quispe,28,F,Soltera,0,RRHH,Asistente RRHH,2023-02-28,2.94,4200.8,3.9,4.1,3.6,7.4,5,0
10018,Fernando Sánchez Ramírez,41,M,Casado,2,Operaciones,Gerente,2018-08-16,7.47,12800.0,4.2,4.4,3.4,20.5,4,0
10019,Daniela Flores Torres,26,F,Soltera,0,TI,Desarrollador,2024-03-05,1.92,6000.5,4.6,4.8,4.3,7.1,2,0
10020,Andrés Vargas López,38,M,Divorciado,1,Ventas,Coordinador,2020-11-22,5.21,8500.25,3.7,4.0,3.5,15.2,6,0
10021,Valeria Castillo García,32,F,Casada,2,Finanzas,Analista Financiero,2021-07-14,4.56,6200.75,3.3,3.9,3.1,22.8,8,0
10022,Diego Torres Mendoza,29,M,Soltero,0,Marketing,Especialista Marketing,2023-01-20,3.04,5900.4,4.4,4.6,4.1,8.7,3,0
10023,Carolina Quispe Flores,44,F,Casada,3,RRHH,Coordinador,2019-04-18,6.8,7900.8,3.8,4.2,3.2,12.3,5,0
10024,Javier Ramírez López,25,M,Soltero,0,Operaciones,Operario,2024-06-10,1.65,3500.5,3.2,3.4,3.0,27.9,10,1
10025,Mónica Sánchez Vargas,37,F,Divorciada,1,TI,Analista de Sistemas,2020-02-05,5.99,6800.25,4.1,4.5,3.7,9.6,4,0
10026,Rodrigo Flores Castillo,50,M,Casado,2,Ventas,Gerente,2017-09-12,8.4,14000.0,3.9,4.3,3.1,26.4,5,0
10027,Isabel Torres Quispe,27,F,Soltera,0,Finanzas,Analista Financiero,2023-10-08,2.32,5800.75,4.5,4.7,4.2,6.5,2,0
10028,Sebastián López Ramírez,39,M,Casado,2,Marketing,Coordinador,2019-12-01,6.18,8200.4,3.5,4.1,3.3,17.2,6,0
10029,Martina Mendoza Sánchez,31,F,Casada,1,RRHH,Asistente RRHH,2022-04-25,3.78,4600.8,3.7,3.9,3.4,10.8,7,0
10030,Nicolás Vargas Flores,43,M,Divorciado,2,Operaciones,Supervisor,2018-11-19,7.21,7800.0,3.4,3.8,2.9,21.5,8,0
10031,Camila Castillo Torres,23,F,Soltera,0,TI,Desarrollador,2024-12-03,1.17,5500.25,4.9,4.9,4.7,3.8,1,0
10032,Mateo Quispe López,35,M,Casado,2,Ventas,Ejecutivo de Ventas,2021-08-22,4.45,6100.5,2.9,3.7,2.8,29.3,9,1
10033,Lucía Ramírez Vargas,29,F,Soltera,0,Finanzas,Contador,2022-12-10,3.15,7200.75,4.2,4.4,3.9,11.7,3,0
10034,Gonzalo Sánchez Castillo,46,M,Casado,3,Marketing,Gerente,2017-06-05,8.67,13800.0,4.0,4.3,3.2,23.9,4,0
10035,Valentina Flores Mendoza,28,F,Soltera,0,RRHH,Coordinador,2023-05-16,2.72,7600.4,4.3,4.5,4.0,8.2,4,0
10036,Santiago Torres López,40,M,Divorciado,1,Operaciones,Gerente,2019-07-28,6.52,12500.8,3.8,4.1,3.1,19.4,5,0
10037,Renata Vargas Quispe,26,F,Soltera,0,TI,Desarrollador,2024-04-14,1.81,5700.5,4.7,4.8,4.4,5.9,2,0
10038,Emilio Castillo Ramírez,38,M,Casado,2,Ventas,Coordinador,2020-10-30,5.27,8300.25,3.6,4.0,3.4,16.8,6,0
10039,Juliana López Flores,33,F,Casada,1,Finanzas,Analista Financiero,2021-09-12,4.39,6400.75,3.2,3.8,3.0,24.1,8,0
10040,Adrián Mendoza Torres,30,M,Soltero,0,Marketing,Especialista Marketing,2022-11-28,3.19,6100.4,4.4,4.6,4.1,9.3,3,0
10041,Natalia Quispe Sánchez,42,F,Casada,2,RRHH,Asistente RRHH,2019-03-21,6.87,5200.8,3.1,3.6,2.9,13.5,7,0
10042,Felipe Ramírez Vargas,27,M,Soltero,0,Operaciones,Operario,2023-07-09,2.58,3900.0,3.5,3.5,3.2,26.7,9,1
10043,Paula Sánchez Castillo,36,F,Divorciada,1,TI,Analista de Sistemas,2020-05-18,5.72,6900.25,4.0,4.4,3.6,10.2,4,0
10044,Leonardo Flores López,49,M,Casado,3,Ventas,Gerente,2017-11-24,8.2,13600.5,3.9,4.2,3.0,25.8,5,0
10045,Victoria Torres Mendoza,25,F,Soltera,0,Finanzas,Analista Financiero,2024-02-07,1.99,5600.75,4.6,4.7,4.3,6.1,2,0
10046,Maximiliano Vargas Quispe,37,M,Casado,2,Marketing,Coordinador,2019-08-14,6.48,8000.4,3.4,3.9,3.1,18.6,6,0
10047,Emma Castillo Ramírez,32,F,Casada,1,RRHH,Coordinador,2021-10-29,4.27,7700.8,4.1,4.4,3.8,11.9,4,0
10048,Tomás López Sánchez,44,M,Divorciado,2,Operaciones,Supervisor,2018-12-16,7.14,7600.0,3.3,3.7,2.8,20.9,8,0
10049,Mía Mendoza Flores,24,F,Soltera,0,TI,Desarrollador,2024-08-22,1.37,5400.25,4.8,4.9,4.6,4.5,1,0
10050,Bruno Quispe Torres,34,M,Casado,2,Ventas,Ejecutivo de Ventas,2022-01-18,4.05,5950.5,3.0,3.8,2.9,28.5,9,1
